"scenario_id","method","n_AB","n_covariates","population_overlap","effect_modifiers","n_success","true_value","bias","empirical_se","model_se","rmse","coverage","ess_mean","ess_median","convergence_rate","mean_time"
"S012","EbTotal",500,6,"high","none",1000,0.2,-0.00765660905765186,0.26718202661478,0.262806807347761,0.26715814188023,0.947,463.104042861195,464.054326024803,1,0.00749636960029601
"S012","SigTotal",500,6,"high","none",1000,0.2,-0.00765660905765186,0.26718202661478,0.262806807347761,0.26715814188023,0.947,463.104042861195,464.054326024803,1,0.00619632077217102
"S013","Bucher",100,6,"medium","none",1000,0.2,-0.0400134415555354,0.471257494616078,0.450245702109711,0.472718328511503,0.94,100,100,1,8.85467529296875e-05
"S013","EbArm",100,6,"medium","none",1000,0.2,-0.020416282844149,0.846227106946212,0.566377198141325,0.846050259038551,0.952,59.6414685641901,59.7537443532702,0.999,0.0117108664512634
"S013","EbEL",100,6,"medium","none",1000,0.2,-0.0345842634298589,0.624464379852216,0.567267673145688,0.625109492184765,0.919,55.3026904192076,55.3701407652435,1,0.00703557896614075
"S013","EbTotal",100,6,"medium","none",1000,0.2,-0.0368445430701981,0.570689429625053,0.534856467365081,0.571592738770126,0.931,66.7381779327592,66.9706799309706,1,0.00549525094032287
"S013","SigTotal",100,6,"medium","none",1000,0.2,-0.0368445430637448,0.570689429633554,0.534856467367734,0.57159273877819,0.931,66.7381779315543,66.9706799309706,1,0.00668389797210695
"S014","Bucher",300,6,"medium","none",1000,0.2,-0.026734152463826,0.293429743205932,0.297181851968892,0.294498944126563,0.957,300,300,1,9.24527645111083e-05
"S014","EbArm",300,6,"medium","none",1000,0.2,-0.0257256800251265,0.319931183720021,0.339313385659513,0.320804328161159,0.956,200.94383319707,201.68842992006,1,0.0111577851772308
"S014","EbEL",300,6,"medium","none",1000,0.2,-0.0148930727074822,0.38086294971213,0.370186240434104,0.38096369051608,0.945,152.493994338003,153.070756306219,1,0.009306476354599
"S014","EbTotal",300,6,"medium","none",1000,0.2,-0.0262314744505495,0.335740585966101,0.333921249274852,0.336596360015444,0.945,209.678344577964,210.781414968749,1,0.00626414632797241
"S014","SigTotal",300,6,"medium","none",1000,0.2,-0.0262314744505495,0.335740585966101,0.333921249274852,0.336596360015444,0.945,209.678344577964,210.781414968749,1,0.00907251429557801
"S015","Bucher",500,6,"medium","none",1000,0.2,-0.0187118519668904,0.257246955312944,0.257049854785075,0.257798280494252,0.942,500,500,1,9.36729907989504e-05
"S015","EbArm",500,6,"medium","none",1000,0.2,-0.0199667486766958,0.260769329686912,0.28461411502814,0.261402589342138,0.966,341.56517943687,340.944795365766,1,0.0102371163368225
"S015","EbEL",500,6,"medium","none",1000,0.2,-0.0236938506976783,0.338282894594792,0.319429283214536,0.338942886073067,0.937,230.034480541518,225.940052976344,1,0.00982177305221557
"S015","EbTotal",500,6,"medium","none",1000,0.2,-0.0234939762822667,0.281453926925219,0.282025709390403,0.282292514229827,0.946,351.747119617348,351.866186468054,1,0.00943680047988893
"S015","SigTotal",500,6,"medium","none",1000,0.2,-0.0234939762748955,0.281453926930416,0.282025709387248,0.282292514234389,0.946,351.74711963111,351.866186468054,1,0.00885223007202148
"S016","Bucher",100,6,"low","none",1000,0.2,0.00732440958543246,0.444589735318145,0.450127216516039,0.4444277440634,0.956,100,100,1,6.25395774841309e-05
"S016","EbArm",100,6,"low","none",1000,0.2,-0.173728031489438,8.61827079921377,0.797677059238986,8.61571229823381,0.776,21.6339575669065,22.8088167740413,0.824,0.0775502779483796
"S016","EbEL",100,6,"low","none",1000,0.2,-0.0589405158881094,1.11219205930842,0.871866620346089,1.11319728261664,0.859,16.0870663569799,15.3099323810104,1,0.0090825355052948
"S016","EbTotal",100,6,"low","none",1000,0.2,-0.0289823867612658,0.844535406928334,0.76339236086666,0.844610438157398,0.914,28.3009617208692,28.2197483115849,1,0.00655815005302429
"S016","SigTotal",100,6,"low","none",1000,0.2,-0.0289823867811692,0.844535406818449,0.763392360851357,0.844610438048315,0.914,28.3009617222437,28.2197485304635,1,0.00647403240203861
"S017","Bucher",300,6,"low","none",1000,0.2,-0.0227882095474617,0.306955317008889,0.297540610193832,0.307646952801042,0.942,300,300,1,7.5362205505371e-05
"S017","EbArm",300,6,"low","none",1000,0.2,-0.0288714854058205,0.464726133835893,0.474524028479134,0.46539012855896,0.958,82.9137254599085,82.5207703072172,1,0.00909653878211974
"S017","EbEL",300,6,"low","none",1000,0.2,-0.0330118062295877,0.779434191907861,0.628089790935531,0.779743497059184,0.869,29.7426800460805,28.1535258563195,1,0.00834432053565978
"S017","EbTotal",300,6,"low","none",1000,0.2,-0.0296392883714401,0.486747362816729,0.459747599858344,0.487405949521543,0.935,86.2583964288228,85.9363132858671,1,0.0109292016029358
"S017","SigTotal",300,6,"low","none",1000,0.2,-0.0296392883714401,0.486747362816729,0.459747599858344,0.487405949521543,0.935,86.2583964288228,85.9363132858671,1,0.0102142989635468
"S018","Bucher",500,6,"low","none",1000,0.2,-0.0233843933408163,0.255005647119148,0.257312415965206,0.255948592562082,0.954,500,500,1,7.33237266540525e-05
"S018","EbArm",500,6,"low","none",1000,0.2,-0.0351601327529186,0.373664955350102,0.383126232354291,0.37512945537926,0.95,139.778952882255,138.469882864487,1,0.016879132270813
"S018","EbEL",500,6,"low","none",1000,0.2,-0.00491451473048626,0.681202292692471,0.576631579950607,0.680879342806745,0.906,36.1588462872097,34.6743105369876,1,0.0133237085342407
"S018","EbTotal",500,6,"low","none",1000,0.2,-0.0349667920537751,0.385205818347116,0.377124269127858,0.386597743801636,0.942,142.456355142456,142.075448826227,1,0.0116170475482941
