"scenario_id","n_AB","n_covariates","population_overlap","effect_modifiers","method","bias","rmse","coverage","ess_mean","convergence_rate"
"S005",300,3,"medium","none","EbTotal",-0.0153386437383033,0.329958774178865,0.957,211.69678025783,1
"S005",300,3,"medium","none","SigTotal",-0.0153386437383033,0.329958774178865,0.957,211.69678025783,1
"S006",500,3,"medium","none","Bucher",0.000379626698048918,0.255933796288633,0.945,500,1
"S006",500,3,"medium","none","EbArm",-0.00191670293921345,0.272618796910719,0.956,350.021138535078,1
"S006",500,3,"medium","none","EbEL",0.00133912548311169,0.341501157787693,0.945,214.268302260819,1
"S006",500,3,"medium","none","EbTotal",-0.00367312569111783,0.27972739983895,0.95,356.129307339047,1
"S006",500,3,"medium","none","SigTotal",-0.0036731256927387,0.279727399830879,0.95,356.129307338829,1
"S007",100,3,"low","none","Bucher",-0.00309859039003255,0.460608603211799,0.95,100,1
"S007",100,3,"low","none","EbArm",-0.158670349863003,3.33062119194589,0.877,26.4065500072327,0.969
"S007",100,3,"low","none","EbEL",-0.0348802696596968,1.1508698593892,0.841,13.871095384561,1
"S007",100,3,"low","none","EbTotal",-0.028379770226875,0.841776329425069,0.919,29.4700549557873,1
"S007",100,3,"low","none","SigTotal",-0.0283797702020825,0.841776329441912,0.919,29.4700549548351,1
"S008",300,3,"low","none","Bucher",-0.00076548395433898,0.302766339727416,0.948,300,1
"S008",300,3,"low","none","EbArm",-0.0128270058991027,0.465602530231659,0.943,85.3467131664268,1
"S008",300,3,"low","none","EbEL",-0.00252221276586556,0.840136908369154,0.864,22.2005427338215,1
"S008",300,3,"low","none","EbTotal",-0.0118810203526025,0.475259829527733,0.934,87.0356271984843,1
"S008",300,3,"low","none","SigTotal",-0.0118810203526025,0.475259829527733,0.934,87.0356271984843,1
"S009",500,3,"low","none","Bucher",-0.0161709724817318,0.249807597254079,0.951,500,1
"S009",500,3,"low","none","EbArm",-0.0364189268922044,0.372485077124437,0.954,140.290723047692,1
"S009",500,3,"low","none","EbEL",-0.0463118339069045,0.801950084907715,0.866,25.2107145264765,1
"S009",500,3,"low","none","EbTotal",-0.0385088444764745,0.382259306581887,0.944,141.301025080539,1
"S009",500,3,"low","none","SigTotal",-0.0385088444696377,0.382259306592772,0.944,141.301025073188,1
"S010",100,6,"high","none","Bucher",-0.0612450397744487,0.457792632126664,0.951,100,1
"S010",100,6,"high","none","EbArm",-0.0718401327562064,0.484085462201259,0.955,80.0047732329413,1
"S010",100,6,"high","none","EbEL",-0.0723238833157073,0.505150196316674,0.941,85.1838772104347,1
"S010",100,6,"high","none","EbTotal",-0.0730810793680462,0.496627491759949,0.943,87.8595435442513,1
"S010",100,6,"high","none","SigTotal",-0.0730810793876433,0.49662749175975,0.943,87.8595435427501,1
"S011",300,6,"high","none","Bucher",-0.0204549533308123,0.307543730149144,0.946,300,1
"S011",300,6,"high","none","EbArm",-0.0198348373650752,0.299621082852761,0.961,265.813218849672,1
"S011",300,6,"high","none","EbEL",-0.021550221717863,0.319504092463603,0.952,270.426666061888,1
"S011",300,6,"high","none","EbTotal",-0.0226761227710543,0.316081314850571,0.952,275.727865301708,1
"S011",300,6,"high","none","SigTotal",-0.0226761227710543,0.316081314850571,0.952,275.727865301708,1
"S012",500,6,"high","none","Bucher",-0.00890484469137359,0.262223124270667,0.946,500,1
"S012",500,6,"high","none","EbArm",-0.0114433574767593,0.251714903566791,0.962,451.125170981058,1
"S012",500,6,"high","none","EbEL",-0.00634831619388382,0.268879283928737,0.942,454.631890545005,1
"S012",500,6,"high","none","EbTotal",-0.00765660905765186,0.26715814188023,0.947,463.104042861195,1
"S012",500,6,"high","none","SigTotal",-0.00765660905765186,0.26715814188023,0.947,463.104042861195,1
"S013",100,6,"medium","none","Bucher",-0.0400134415555354,0.472718328511503,0.94,100,1
"S013",100,6,"medium","none","EbArm",-0.020416282844149,0.846050259038551,0.952,59.6414685641901,0.999
"S013",100,6,"medium","none","EbEL",-0.0345842634298589,0.625109492184765,0.919,55.3026904192076,1
"S013",100,6,"medium","none","EbTotal",-0.0368445430701981,0.571592738770126,0.931,66.7381779327592,1
"S013",100,6,"medium","none","SigTotal",-0.0368445430637448,0.57159273877819,0.931,66.7381779315543,1
"S014",300,6,"medium","none","Bucher",-0.026734152463826,0.294498944126563,0.957,300,1
"S014",300,6,"medium","none","EbArm",-0.0257256800251265,0.320804328161159,0.956,200.94383319707,1
"S014",300,6,"medium","none","EbEL",-0.0148930727074822,0.38096369051608,0.945,152.493994338003,1
